"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048535","lymph node development","6/384","21/18860",0.285714285714286,14.0327380952381,8.6146444526075,2.8700202207313e-06,0.0109606072229728,0.0101568505074722,"LTB/TOX/CD248/LTA/CXCR5/TRAF3IP2",6
"GO:0090398","cellular senescence","11/384","111/18860",0.0990990990990991,4.86721096096096,5.89103040867435,1.65534175077437e-05,0.0316087507310367,0.0292908366637024,"HLA-G/NPM1/RSL1D1/PRELP/MAP2K7/MIR22/MAP2K6/NUAK1/HMGA1/MAPK14/PTEN",11
