"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene symbol","Gene ID","Gene title","gene_symbol_primary"
"209715_at",-0.447656370338156,7.8712951519661,-4.90858451718105,7.13201713594177e-06,0.146893903822735,2.8467777848612,"CBX5","23468","chromobox 5","CBX5"
"215750_at",-0.587565741396053,5.49162107523729,-4.71549200392946,1.43692326418537e-05,0.146893903822735,2.3106729823485,"","","",""
"207445_s_at",-0.576219435043419,5.36299486427119,-4.62634529099931,1.97819145965886e-05,0.146893903822735,2.06569153824871,"CCR9","10803","C-C motif chemokine receptor 9","CCR9"
"207339_s_at",-0.330196761815795,11.8461301949153,-4.32850198872453,5.64937569486462e-05,0.30648265418748,1.26049142786599,"LTB","4050","lymphotoxin beta","LTB"
"216227_at",0.33300202459342,4.2767748901017,4.17409954909683,9.61436832726757e-05,0.30648265418748,0.852134749782003,"LOC105379655","105379655","uncharacterized LOC105379655","LOC105379655"
"210450_at",-0.397033302825,6.14258597144068,-4.15280481626108,0.000103386368846291,0.30648265418748,0.796349178474446,"IGHV5-78","28387","immunoglobulin heavy variable 5-78 (pseudogene)","IGHV5-78"
"209153_s_at",-0.379718159810528,9.84870219466102,-4.04104387546773,0.000150919727579058,0.30648265418748,0.505811170091004,"TCF3","6929","transcription factor 3","TCF3"
"208893_s_at",0.519484868223685,11.4257886465254,3.97121050871596,0.00019067439295909,0.30648265418748,0.326253397769798,"DUSP6","1848","dual specificity phosphatase 6","DUSP6"
"214180_at",-0.518526877699995,7.3921742351017,-3.95437703281932,0.000201669355970093,0.30648265418748,0.2832070849442,"MAN1C1","57134","mannosidase alpha class 1C member 1","MAN1C1"
"203645_s_at",0.347829094014475,10.3095496741356,3.9148092157705,0.000229967860196452,0.30648265418748,0.182394640425114,"CD163","9332","CD163 molecule","CD163"
"219671_at",-0.596961235282896,6.35497855961017,-3.9139474097756,0.000230624815933897,0.30648265418748,0.180204727929931,"HPCAL4","51440","hippocalcin like 4","HPCAL4"
