"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-187037","Signaling by NTRK1 (TRKA)","10/274","115/11230",0.0869565217391304,3.56394795303078,4.37042027387093,0.000496720225355068,0.141620062368476,0.129125084164312,"DUSP6/EGR4/ID3/KIDINS220/MAPK14/IRS2/PLCG1/SOS1/CREB1/PPP2R1B",10
"R-HSA-373752","Netrin-1 signaling","6/274","42/11230",0.142857142857143,5.85505735140772,4.98497048581468,0.000500661870601355,0.141620062368476,0.129125084164312,"TRPC1/TRPC4/TRPC5/ABLIM1/PLCG1/MYO10",6
"R-HSA-450294","MAP kinase activation","7/274","63/11230",0.111111111111111,4.55393349553933,4.47333191921149,0.000820770799880811,0.141620062368476,0.129125084164312,"DUSP6/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/PPP2R1B",7
"R-HSA-166520","Signaling by NTRKs","10/274","133/11230",0.075187969924812,3.08160913231985,3.8189328543066,0.00153325908638283,0.141620062368476,0.129125084164312,"DUSP6/EGR4/ID3/KIDINS220/MAPK14/IRS2/PLCG1/SOS1/CREB1/PPP2R1B",10
"R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","9/274","111/11230",0.0810810810810811,3.32314065890708,3.88977016209191,0.00154908004931335,0.141620062368476,0.129125084164312,"DUSP6/IRAK3/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/USP14/PPP2R1B",9
"R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","9/274","111/11230",0.0810810810810811,3.32314065890708,3.88977016209191,0.00154908004931335,0.141620062368476,0.129125084164312,"DUSP6/IRAK3/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/USP14/PPP2R1B",9
"R-HSA-448424","Interleukin-17 signaling","7/274","71/11230",0.0985915492957746,4.04081422843631,4.06467882311264,0.00167239060275323,0.141620062368476,0.129125084164312,"DUSP6/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/PPP2R1B",7
"R-HSA-168638","NOD1/2 Signaling Pathway","5/274","36/11230",0.138888888888889,5.69241686942417,4.45938529137349,0.00169137413440102,0.141620062368476,0.129125084164312,"CASP2/TNFAIP3/MAP2K6/RIPK2/MAPK14",5
"R-HSA-913531","Interferon Signaling","16/274","286/11230",0.0559440559440559,2.29288959215967,3.50248451824215,0.00174745352622335,0.141620062368476,0.129125084164312,"HLA-G/HLA-C/NPM1/SP100/MAP2K6/FKBP5/NUP50/ARIH1/OASL/MID1/ICAM1/PLCG1/HLA-DQA1/XAF1/NCAM1/PPP2R1B",16
"R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","9/274","114/11230",0.0789473684210526,3.23568958893584,3.79410610042611,0.00186536158918218,0.141620062368476,0.129125084164312,"DUSP6/IRAK3/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/USP14/PPP2R1B",9
"R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","9/274","114/11230",0.0789473684210526,3.23568958893584,3.79410610042611,0.00186536158918218,0.141620062368476,0.129125084164312,"DUSP6/IRAK3/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/USP14/PPP2R1B",9
"R-HSA-9931510","Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes","4/274","23/11230",0.173913043478261,7.12789590606157,4.65211478605609,0.00212887714952533,0.141620062368476,0.129125084164312,"NPAS2/CREM/NR1D1/CREB1",4
"R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","8/274","95/11230",0.0842105263157895,3.45140222819823,3.79446961093995,0.00220363167585802,0.141620062368476,0.129125084164312,"DUSP6/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/USP14/PPP2R1B",8
"R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","8/274","95/11230",0.0842105263157895,3.45140222819823,3.79446961093995,0.00220363167585802,0.141620062368476,0.129125084164312,"DUSP6/MAP2K7/MAP2K6/RIPK2/MAPK14/CREB1/USP14/PPP2R1B",8
